Date,Time,High,Low,Open,Close,Volume
2022-04-03 03:00:00,03:00:00,46471.25,46331.0,46468.75,46331.0,1.05867364
2022-04-03 03:30:00,03:30:00,46465.75,46331.25,46331.25,46377.25,0.472126
2022-04-03 04:00:00,04:00:00,46411.5,46347.5,46377.5,46348.0,0.16941279
2022-04-03 04:30:00,04:30:00,46348.25,46255.75,46348.0,46281.75,0.68631658
2022-04-03 05:00:00,05:00:00,46354.75,46212.5,46281.75,46354.75,0.39475552
2022-04-03 05:30:00,05:30:00,46448.5,46345.0,46354.75,46396.0,0.24140686
2022-04-03 06:00:00,06:00:00,46396.25,46237.25,46396.25,46240.5,0.26087167
2022-04-03 06:30:00,06:30:00,46246.75,46162.75,46240.75,46177.25,0.54669947
2022-04-03 07:00:00,07:00:00,46202.75,46105.25,46177.25,46202.75,0.44156035
2022-04-03 07:30:00,07:30:00,46315.75,46207.25,46207.25,46278.5,0.29707088
2022-04-03 08:00:00,08:00:00,46361.25,46221.25,46278.25,46357.0,0.55687571
2022-04-03 08:30:00,08:30:00,46435.25,46348.5,46357.0,46412.5,1.21901373
2022-04-03 09:00:00,09:00:00,46644.75,46306.25,46412.75,46600.75,3.1639518
2022-04-03 09:30:00,09:30:00,46600.75,46423.5,46600.75,46468.0,1.69258883
2022-04-03 10:00:00,10:00:00,46479.5,46393.75,46467.75,46394.0,1.25014755
2022-04-03 10:30:00,10:30:00,46632.25,46340.25,46393.75,46632.25,1.28182734
2022-04-03 11:00:00,11:00:00,46704.0,46526.75,46632.25,46530.25,4.9104002
2022-04-03 11:30:00,11:30:00,46530.5,46425.5,46530.5,46425.75,0.82310557
2022-04-03 12:00:00,12:00:00,46499.0,46250.25,46425.5,46320.5,1.49563373
2022-04-03 12:30:00,12:30:00,46331.0,46252.0,46320.75,46318.75,19.58775235
2022-04-03 13:00:00,13:00:00,46356.75,46269.25,46318.5,46270.5,1.41345187
2022-04-03 13:30:00,13:30:00,46418.0,46270.5,46270.5,46400.0,1.60936982
2022-04-03 14:00:00,14:00:00,46448.0,46399.75,46400.0,46420.75,0.66243974
2022-04-03 14:30:00,14:30:00,46767.25,46382.25,46420.75,46609.75,6.61404702
2022-04-03 15:00:00,15:00:00,46690.75,46482.25,46587.5,46490.0,2.58432814
2022-04-03 15:30:00,15:30:00,46535.0,46420.75,46489.75,46420.75,2.57588384
2022-04-03 16:00:00,16:00:00,46459.0,46411.75,46420.5,46459.0,0.80953652
2022-04-03 16:30:00,16:30:00,46469.0,46395.0,46459.0,46395.0,1.34441938
2022-04-03 17:00:00,17:00:00,46749.5,46368.25,46395.0,46715.75,3.23785173
2022-04-03 17:30:00,17:30:00,46854.75,46586.5,46715.75,46854.75,4.53099175
2022-04-03 18:00:00,18:00:00,47419.5,46784.75,46952.25,47299.0,15.33819047
2022-04-03 18:30:00,18:30:00,47382.5,46632.5,47299.25,46688.0,15.40054892
2022-04-03 19:00:00,19:00:00,46720.25,46455.25,46720.0,46541.5,6.26582776
2022-04-03 19:30:00,19:30:00,46555.25,46290.75,46541.5,46427.75,7.17761169
